Numéro notice,Titre,Mentions de responsabilité,Titre propre de la collection,Éditeur,Date,DateDébut,DateFin,Date d'autorisation,Édition,Format,ISBN/ISSN,Notes,Langue,Lieu,Cycle,Niveau,Discipline
00000951,Écrire et parler : le vocabulaire et l'expression écrite : CE1,"VERRET, P.|FURCY, P.",,Fernand Nathan,[1967?],1967-01-01,1967-12-31,,,"24 cm: 123 p., ill. en coul.",,,Français,"Paris, FR",Primaire,1ère année,
00000952,Un apprentissage heureux de la lecture,"WADIER, Henri|MAJAULT, Joseph|PLANQUE, Bernard","Orientations / E3, Enfance - Éducation - Enseignement",Casterman,[1978?],1978-01-01,1978-12-31,,,20 cm: 188 p.,ISBN 2-203-20240-8,,Français,Belgique,Primaire,Primaire,
00000953,La Lecture sous toutes ses formes 1,"CANAC-MARQUIS, Jean|LABROSSE, Johannes",,Centre éducatif et culturel inc.,[1974?],1974-01-01,1974-12-31,,Éd. révisée,"23 cm: 212 p., ill. en coul.",ISBN 2-7617-0163-1,,Français,"Montréal, QC",,,
00000954,La Lecture sous toutes ses formes 2,"CANAC-MARQUIS, Jean|MAJOR, Henriette|PARSON, Michèle Parson",,Centre éducatif et culturel inc.,[1976?],1976-01-01,1976-12-31,,Éd. révisée,"23 cm: 291 p., ill. en coul.",ISBN 0-7751-0040-4,,Français,"Montréal, QC",,,
00000955,La Lecture sous toutes ses formes 3,"CANAC-MARQUIS, Jean|MAJOR, Henriette|PARSON, Michèle Parson",,Centre éducatif et culturel inc.,[1977?],1977-01-01,1977-12-31,,Éd. révisée,"23 cm: 310 p., ill. en coul.",ISBN 0-7751-0042-0,,Français,"Montréal, QC",,,
00000956,La Lecture sous toutes ses formes 4,"CANAC-MARQUIS, Jean|PRIMEAU, Gilles|CANAC-MARQUIS, Francine",,Centre éducatif et culturel inc.,[1972?],1972-01-01,1972-12-31,,Éd. révisée,"23 cm: 369 p., ill. en coul.",ISBN 0-7751-0020-X,,Français,"Montréal, QC",,,
00000957,Le Français à l'école active : brochure complémentaire,,,Frères du Sacré-Coeur,[19--?],1899-12-31,1999-12-31,,,18 cm: 32 p.,,,Français,"Montréal, QC",Primaire,4e année,
00000958,Cours de langue française : cours supérieur (5e et 6e années) : grammaire,Frères de l'instruction chrétienne,,Procure des Frères de l'instruction chrétienne,1935,1935-01-01,1935-12-31,,,"21 cm: 305 p., quelques ill.",,Sur la p. de t. : ouvrage approuvé par le Conseil de l'instruction publique de la province de Québec,Français,"Laprairie, QC",Primaire,"5e et 6e année, cours supérieur",
00000959,Cours élémentaire de langue française,Frères de l'instruction chrétienne,,Procure des Frères de l'instruction chrétienne,1930,1930-01-01,1930-12-31,,,"18 cm: xvi, 400 p., ill.",,Sur la couv. : ouvrage approuvé par le Conseil de l'instruction publique de la province de Québec. -- Sur la p. de t. : grammaire et exercices - nouvelle nomenclature grammaticale - morceaux choisis servant de dictées ou de récitations - exercices d'observation - rédactions sur cavenas et d'après l'image - notions de style - sujets de lecture. -- Comprend des tables au début de l'ouvrage,Français,"Laprairie, QC",Primaire,Primaire,
00000960,Langue française : cours moyen & supérieur,Frères de l'instruction chrétienne,,Imprimerie du Sacré-Coeur,1916,1916-01-01,1916-12-31,,,"18 cm: xl, 864 p., ill.",,Sur la p. de t. : grammaire et exercices - nouvelle nomenclature grammaticale - morceaux choisis servant de dictées ou de récitations - exercices d'observation - rédactions sur cavenas et d'après l'image - notions de littérature. -- Comprend des tables au début de l'ouvrage,Français,"Laprairie, QC",Système français,Cours moyen; supérieur,
00000961,Langue française : cours moyen & supérieur : deuxième partie,Frères de l'instruction chrétienne,,Imprimerie du Sacré-Coeur,1930,1930-01-01,1930-12-31,,,"18 cm: xvi, 528 p., quelques ill.",,"Sur la p. de t. : exercices grammaticaux correspondant à la grammaire complète des mêmes auteurs - morceaux choisis pour la lecture et la récitation, et pouvant être donnés en dictée - exercices d'observation - exercices d'invention, de langue et de vocabulaire - rédactions sur cavenas et d'après l'image. -- Comprend des tables au début de l'ouvrage",Français,"Laprairie, QC",Système français,Cours moyen; supérieur,
00000962,Cours de lecture : premier livre (par la méthode phonique),Frères des écoles chrétiennes,,Frères des écoles chrétiennes,1941,1941-01-01,1941-12-31,1940-05-08,,"20 cm: 120 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,1ère année,
00000963,Leçons de langue française : cours élémentaire : livre du maître,Frères des écoles chrétiennes,,Frères des écoles chrétiennes,1912,1912-01-01,1912-12-31,,Éd. revue et corrigée,"18 cm: 231 p., quelques ill.",,,Français,"Montréal, QC",Primaire,Primaire,
00000964,Leçons de langue française : cours moyen : livre de l'élève,Frères des écoles chrétiennes,,Frères des écoles chrétiennes,[19--?],1899-12-31,1999-12-31,,Éd. revue et corrigée,"19 cm: 282 p., ill.",,,Français,"Montréal, QC",Système français,Cours moyen,
00000965,La Grammaire à l'école active : deuxième livre,"PICARD, M.|MARÉCHAL, Claudine",Grammaire à l'école active ; 2,Centre éducatif et culturel inc.,[1969?],1969-01-01,1969-12-31,,,"23 cm: 158 p., ill. en coul.",,"Éd. adapt. de : grammaire, cours élémentaire",Français,"Montréal, QC",Primaire,4e année,
00000966,Heureux Départ : initiation à la lecture : guide pédagogique : livrets et cahiers,"JUGHON, B.|MILOT, J.-G.",,Centre éducatif et culturel inc.,[1967?],1967-01-01,1967-12-31,,,21 cm: 102 p.,,,Français,"Montréal, QC",,,
00000967,"Le Français à l'école active pour tout le 2e cycle de l'élémentaire : un programme-niveau de grammaire, d'analyse, de conjugaison, de phonétique, de vocabulaire","LONGPRÉ, Henri",Le français à l'école active,Éditions école active,1967,1967-01-01,1967-12-31,,,23 cm: 48 p.,,,Français,"Montréal, QC",Primaire,4e à 6e année,
00000968,La Grammaire à l'école active : guide pédagogique : 1er livre,"PICARD, M.|PAQUET, P.",La Grammaire à l'école active ; 1,Centre éducatif et culturel inc.,[1967?],1967-01-01,1967-12-31,,,20 cm: 66 p.,,,Français,"Montréal, QC",Primaire,3e année,
00000969,Le Langage à l'école active : expression orale et écrite : premier livre,"PICARD, M.|CABAU, M.|JUGHON, B.|GÉLINAS, P.",Le Langage à l'école active ; 1,Centre éducatif et culturel inc.,[1967?],1967-01-01,1967-12-31,,,"24 cm: 94 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,3e année,
00000970,Le Langage à l'école active : guide pédagogique : 1er livre,"PICARD, M.|GÉLINAS, P.",Le Langage à l'école active ; 1,Centre éducatif et culturel inc.,[1967?],1967-01-01,1967-12-31,,,20 cm: 69 p.,,,Français,"Montréal, QC",Primaire,3e année,
00000971,Le Langage à l'école active : expression orale et écrite : deuxième livre,"PICARD, M.|CABAU, M.|JUGHON, B.|GÉLINAS, P.",Le Langage à l'école active ; 2,Centre éducatif et culturel inc.,[1968?],1968-01-01,1968-12-31,,,"24 cm: 159 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,4e année,
00000972,Le Langage à l'école active : guide pédagogique : 2e livre,"PICARD, M.|GÉLINAS, P.|JUGHON, B.",Le Langage à l'école active ; 2,Centre éducatif et culturel inc.,[1968?],1968-01-01,1968-12-31,,,"20 cm: xiv, 73 p.",,,Français,"Montréal, QC",Primaire,4e année,
00000973,Le Langage à l'école active : expression orale et écrite : troisième livre,"PICARD, M.|CABAU, M.|JUGHON, B.|GÉLINAS, P.",Le Langage à l'école active ; 3,Centre éducatif et culturel inc.,[1971?],1971-01-01,1971-12-31,,,"24 cm: 183 p., ill. en coul.",,"Éd. original publié sous le titre : Mon Nouveau Vocabulaire, cours moyen",Français,"Montréal, QC",Primaire,5e année,
00000974,La Lecture à l'école active : premier livre,"PICARD, M.|BRANDICOURT, M. R.|BÉLISLE, A.|BUTEL, Lucile",La Lecture à l'école active ; 1,Centre éducatif et culturel inc.,[1967?],1967-01-01,1967-12-31,,,"24 cm: 159 p., ill. en coul.",,Éd. adap. de : Mon Livre de lecture C.E. 1. -- Sur la couv. : ouvrage complémentaire au premier livre de la collection Le langage à l'école active,Français,"Montréal, QC",Primaire,3e année,
00000975,Le Livre du maître pour la lecture et le français des petits : au cours préparatoire,"SOUCHÉ, A.",A. Souché,Librairie Fernand Nathan,1931,1931-01-01,1931-12-31,,,19 cm: 125 p.,,Sur la p. de t. : la préparation de la classe,Français,"Paris, FR",Système français,Cours préparatoire,
00000976,La Lecture à l'école active : deuxième livre,"PICARD, M.|BRANDICOURT, M. R.|BÉLISLE, A.|BUTEL, Lucile",La Lecture à l'école active ; 2,Centre éducatif et culturel inc.,1968,1968-01-01,1968-12-31,,,"24 cm: 223 p., ill. en coul.",,Sur la couv. : ouvrage complémentaire au deuxième livre de la collection Le Language à l'école active. -- Éd. adapt. de : Mon livre de lecture C.E.,Français,"Montréal, QC",Primaire,4e année,
00000977,La Lecture à l'école active : troisième,"PICARD, M.|BRANDICOURT, M. R.|BÉLISLE, A.",La Lecture à l'école active ; 3,Centre éducatif et culturel inc.,[1971?],1971-01-01,1971-12-31,,,"24 cm: 223 p., ill. en coul.",,Sur la couv. : ouvrage complémentaire au deuxième livre de la collection Le Language à l'école active. -- Éd. adapt. de : Mon livre de lecture C.E. -- Comprend une bibliogr. à la fin de l'ouvrage -- ISBN 7751-0019-6,Français,"Montréal, QC",Primaire,5e année,
00000978,Histoire illustrée de la littérature française : précis méthodique,"AUBRY, Émile|CROUZET, Paul|AUDIC, Charles",,Didier,[1942?],1942-01-01,1942-12-31,,"Nouv. éd., augmentée et mise à jour","22 cm: xii, 884 p., ill.",,Comprend un index à la fin de l'ouvrage,Français,"Paris, FR",,,Histoire|Littérature
00000979,J'explore le français 4 : recueil de textes,"BEAUDOIN, Gilles|PERRAULT, Josée",,Guérin,[1979?],1979-01-01,1979-12-31,,,"23 cm: 53 p., ill. en coul.",ISBN 2-7601-0073-1,,Français,"Montréal, QC",,,
00000980,J'explore le français 5 : recueil de textes,"BEAUDOIN, Gilles|PERRAULT, Josée",,Guérin,[1979?],1979-01-01,1979-12-31,,,"23 cm: 70 p., ill. en coul.",ISBN 2-7601-0074-X,,Français,"Montréal, QC",,,
00000981,J'explore le français 6 : recueil de textes,"BEAUDOIN, Gilles|PERRAULT, Josée",,Guérin,[1979?],1979-01-01,1979-12-31,,,"23 cm: 86 p., ill. en coul.",ISBN 2-7601-0105-3,,Français,"Montréal, QC",,,
00000982,Le Nouveau Livre unique de lecture et de français : cours élémentaire (1re année) : lecture - grammaire - vocabulaire - orthographe - rédaction,"CHATEL, J.|CHATEL, A.",Le Nouveau Livre unique de lecture et de français ; 2,Fernand Nathan,1955,1955-01-01,1955-12-31,,,"22 cm: 223 p., ill. en coul.",,,Français,"Paris, FR",Système français,"1ère année, primaire (France)",
00000983,Petite histoire des lettres françaises,"CHINARD, Gilbert",,Ginn and Company,[1928?],1928-01-01,1928-12-31,,Nouv. éd.,"19 cm: viii, 343 p., ill.",,Comprend un lexique et un index à la fin de l'ouvrage,Français,"Boston, MA",Secondaire|Universitaire et Collégial,Secondaire; Collèges,
00000984,Cours de français : cinquième année - série A,"VINCENT-FUMET, Odette",,Procure des Frères de l'instruction chrétienne,1953,1953-01-01,1953-12-31,1953-05-07,,"22 cm: 60 p., ill. en coul.",,,Français,"La Prairie, QC",Primaire,5e année,
00000985,Expression française 1,"DEGRACE, J.-Gérard|SALISBURY, Margaret|MERLE SMITH, John",,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"21 cm: xviii, 331 p., ill.",,Comprend un vocabulaire à la fin de l'ouvrage,Français,"Toronto, ON",,,
00000986,J'explore le français 5 : guide du maître,"PAPILLON, Claire",,Guérin,[1979?],1979-01-01,1979-12-31,,,"23 cm: 166 p., ill. et tableaux",ISBN 2-7601-0110-X,,Français,"Montréal, QC",,,
00000987,Cours de langue française : grammaire,Frères de l'instruction chrétienne,,Procure des Frères de l'instruction chrétienne,1942,1942-01-01,1942-12-31,,,"21 cm: iv, 280 p., ill.",,Sur la p. de t. : ouvrage approuvé par le Conseil de l'instruction publique de la province de Québec,Français,"Laprairie, QC",Primaire,"4e et 5e année, cours moyen",
00000988,Les Éléments du style II,"GESLIN, L.",Méthode de composition française ; II,J. de Gigord,1958,1958-01-01,1958-12-31,,,"23 cm: xii, 322 p., ill.",,,Français,"Paris, FR",Système français,"1ère année, classe de 8e, cours moyen (France)",
00000989,Lectures graduées : troisième livre,,,Frères des écoles chrétiennes,1917,1917-01-01,1917-12-31,1917-09-26,Nouv. éd.,"19 cm: 363 p., ill.",,Sur la p. de t. : série de livre de lecture à l'usage des écoles chrétiennes,Français,"Montréal, QC",,,
00000990,Grammaire pour l'expression : premier livre,"LEGRAND, L.|SATRE, E.|RICHARD, E.",Louis Legrand ; 1,Fernand Nathan,[1973?],1973-01-01,1973-12-31,,,"16 x 22 cm: 127 p., ill. en coul.",,,Français,"Paris, FR",Primaire,1ère année,
00000991,Grammaire pour l'expression : deuxième livre,"LEGRAND, L.|SATRE, E.|RICHARD, E.",Louis Legrand ; 2,Fernand Nathan,[1970?],1970-01-01,1970-12-31,,,"16 x 22 cm: 191 p., ill. en coul.",,,Français,"Paris, FR",Primaire,2e année,
00000992,Lire et s'informer : livre de lecture 2,"LICHET, Raymond|DESSONS, Pierre","Le Français sur mesure, série verte",Hachette,[1975?],1975-01-01,1975-12-31,,,"22 cm: 63 p., ill. (certaines en coul.)",,,Français,"Paris, FR",Intermédiaire|Secondaire,12 ans et plus,
00000993,Pour tout lire : livre de lecture 1,"LICHET, Raymond|DESSONS, Pierre","Le Français sur mesure, série verte",Hachette,1975,1975-01-01,1975-12-31,,,"22 cm: 63 p., ill. (certaines en coul.)",,,Français,"Paris, FR",Intermédiaire|Secondaire,12 ans et plus,
00000994,Lire et s'informer : cahier d'exercices 2,"LICHET, Raymond|MARQUET, Andrée","Le Français sur mesure, série verte",Hachette,[1975?],1975-01-01,1975-12-31,,,"24 cm: 63 p., ill.",,,Français,"Paris, FR",Intermédiaire|Secondaire,12 ans et plus,
00000995,Pour tout lire : cahier d'exercices 1,"LICHET, Raymond|MARQUET, Andrée","Le Français sur mesure, série verte",Hachette,[1975?],1975-01-01,1975-12-31,,,"24 cm: 63 p., ill.",,,Français,"Paris, FR",Intermédiaire|Secondaire,12 ans et plus,
00000996,Cours français de lectures graduées : degré moyen,"MAGNAN, J.-Roch",,Librairie Beauchemin limitée,1912,1912-01-01,1912-12-31,,,"18 cm: xvi, 380 p., ill.",,Sur la p. de t. : ouvrage approuvé par le comité catholique du Conseil de l'instruction publique de la province de Québec,Français,"Montréal, QC",Intermédiaire,Moyen,
00000997,Cours français de lectures graduées : degré supérieur,"MAGNAN, J.-Roch",,Librairie Beauchemin limitée,1912,1912-01-01,1912-12-31,,,"19 cm: xii, 470 p., ill.",,Sur la p. de t. : ouvrage approuvé par le comité catholique du Conseil de l'instruction publique de la province de Québec,Français,"Montréal, QC",Secondaire,Supérieur,
00000998,Mon nouveau vocabulaire : du vocabulaire à la composition française,"PICARD, M.|CABAU, M.|JUGHON, B.",,Librairie Armand Colin,[1965?],1965-01-01,1965-12-31,,,"24 cm: 94 p., ill. en coul.",,,Français,"Paris, FR",Système français,"1ère année, cours moyen (France)",
00000999,Mon nouveau vocabulaire : du vocabulaire à la phrase,"PICARD, M.|CABAU, M.|JUGHON, B.",,Librairie Armand Colin,[1965?],1965-01-01,1965-12-31,,,"24 cm: 158 p., ill. en coul.",,,Français,"Paris, FR",Système français,"1ère année, primaire (France)",
00001000,Ma langue française : guide du maître,"RICHER, Ernest|L. R. Studio",,Éducation nouvelle,1971,1971-01-01,1971-12-31,,,"23 cm: xi, 161 p.",ISBN 0-7769-1045-0,,Français,"Montréal, QC",,,
00001001,Boucles d'or et pomme d'api : lectures suivies,"SAUVESTRE, Jean",,Fernand Nathan,1952,1952-01-01,1952-12-31,,,"22 cm: 125 p., ill. en coul.",,,Français,"Paris, FR",Système français,"Fin du cours préparatoire et 1re année, primaire",
00001002,"Le Livre du maître pour la lecture expressive et le français : au cours moyen, 1er degré","SOUCHÉ, A.",A. Souché,Librairie Fernand Nathan,1936,1936-01-01,1936-12-31,,Nouv. éd. corrigée,19 cm: 206 p.,,Sur la p. de t. : la préparation de la classe de français,Français,"Paris, FR",Système français,Cours moyen; 1er degré des écoles à plusieurs classes; 1re division des écoles à classe unique (France),
00001003,Escholier [publication en série]: magazine de l'écolier catholique : deux,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 5 (mai 1952)",Français,"Montréal, QC",,,
00001004,Escholier [publication en série]: magazine de l'écolier catholique : trois,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 5 (mai 1952)",Français,"Montréal, QC",,,
00001005,Escholier [publication en série]: magazine de l'écolier catholique : trois,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 6 (juin 1952)",Français,"Montréal, QC",,,
00001006,Escholier [publication en série]: magazine de l'écolier catholique : un,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 6 (juin 1952)",Français,"Montréal, QC",,,
00001007,Escholier [publication en série]: magazine de l'écolier catholique : deux,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 6 (juin 1952)",Français,"Montréal, QC",,,
00001008,Escholier [publication en série]: magazine de l'écolier catholique : un,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 7 (sept. 1952)",Français,"Montréal, QC",,,
00001009,Escholier [publication en série]: magazine de l'écolier catholique : deux,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 7 (sept. 1952)",Français,"Montréal, QC",,,
00001010,Escholier [publication en série]: magazine de l'écolier catholique : un,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 8 (oct. 1952)",Français,"Montréal, QC",,,
00001011,Escholier [publication en série]: magazine de l'écolier catholique : deux,"BENZ, Francis E.|MASSÉ, Jean-Marie|MARGUERITE, M.|DESROSIERS, Adélard",,Escholier,1952,1952-01-01,1952-12-31,,,"30 cm: 16 p., ill. en coul.",,"Mensuel. -- Description d'après : vol. V, no 8 (oct. 1952)",Français,"Montréal, QC",,,
00001012,J'aime lire : méthode de lecture spontanée : 3e livre,"BUSSIÈRES, Simone|Chader|MARC, M. P.",Méthode de lecture spontanée ; 3,Pedagogia inc.,1966,1966-01-01,1966-12-31,,,"25 cm: 159 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,3e année,
00001013,Cahier d'exercices complément de J'aime lire,"BUSSIÈRES, Simone|Chader",Méthode de lecture spontanée ; 3,Pedagogia inc.,1966,1966-01-01,1966-12-31,,,"28 cm: 95 p., ill.",,Comprend un lexique à la fin de l'ouvrage,Français,"Montréal, QC",Primaire,3e année,
00001014,Je sais lire : méthode de lecture spontanée : deuxième livret,"BUSSIÈRES, Simone|Chader",Méthode de lecture spontanée ; 2,Pedagogia inc.,1970,1970-01-01,1970-12-31,,Nouv. éd. entièrement révisée,"25 cm: 121 p., ill. en coul.",,Manquant,Français,"Montréal, QC",Primaire,2e année,
00001015,"Cahier A, complément de Je sais lire : méthode de lecture spontanée","BUSSIÈRES, Simone",Méthode de lecture spontanée ; 2,Pedagogia inc.,1970,1970-01-01,1970-12-31,,Nouv. éd. entièrement révisée,"28 cm: 96 p., ill.",,Comprend un lexique à la fin de l'ouvrage,Français,"Montréal, QC",Primaire,2e année,
00001016,"Cahier B, complément de Je sais lire : méthode de lecture spontanée","BUSSIÈRES, Simone",Méthode de lecture spontanée ; 2,Pedagogia inc.,1970,1970-01-01,1970-12-31,,Nouv. éd. entièrement révisée,"28 cm: 96 p., ill.",,Comprend un lexique à la fin de l'ouvrage,Français,"Montréal, QC",Primaire,2e année,
00001017,Je veux lire : méthode de lecture spontanée : premier livret,"BUSSIÈRES, Simone|Chader",Méthode de lecture spontanée ; 1,Pedagogia inc.,1963,1963-01-01,1963-12-31,,,"25 cm: 104 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,1ère année,
00001018,Je veux lire : méthode de lecture spontanée : premier livret,"BUSSIÈRES, Simone|Chader",Méthode de lecture spontanée ; 1,Pedagogia inc.,1968,1968-01-01,1968-12-31,,2e éd.,"25 cm: 96 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,1ère année,
00001019,"Cahier B, complément de Je veux lire : méthode de lecture spontanée","BUSSIÈRES, Simone|Chader|BÉDARD, Laurent",Méthode de lecture spontanée ; 1,Pedagogia inc.,[1967?],1967-01-01,1967-12-31,,2e éd.,"25 cm: 72 p., ill.",,,Français,"Montréal, QC",Primaire,1ère année,
00001020,La Lecture courante : français 2,"CÔTÉ-PRÉFONTAINE, Gisèle|PRÉFONTAINE, Robert R.|PERRIGUEY, Katherine",Sablier,Le Sablier inc.,1975,1975-01-01,1975-12-31,,3e éd.,"26 cm: 124 p., ill. en coul.",ISBN 0-919428,,Français,"Boucherville, QC",Primaire,2e année,
00001021,Vers la lecture expressive : français 3,"CÔTÉ-PRÉFONTAINE, Gisèle|PRÉFONTAINE, Robert R.|PERRIGUEY, Katherine",Sablier,Le Sablier inc.,1975,1975-01-01,1975-12-31,,,"26 cm: 111 p., ill. en coul.",ISBN 0-919428,,Français,"Boucherville, QC",Primaire,3e année,
00001022,Visite d'un verger : préscolaire,"DESPATIE, Diane",,Les Entreprises culturelles enr.,[1982?],1982-01-01,1982-12-31,,,"28 cm: 24 p., ill.",ISBN 2-7614-0094-1,,Français,"La Prairie, QC",Primaire,Préscolaire,
00001023,Fiches d'activités : Visite d'un verger : préscolaire,"DESPATIE, Diane",,Les Entreprises culturelles enr.,[1982?],1982-01-01,1982-12-31,,,"28 cm: 64 p., ill.",,,Français,"La Prairie, QC",Primaire,Préscolaire,
00001024,Contes bleus : lecture active,"DUBÉ, André|DUBÉ, G.-A.|ROBBIE, Evaline",,Thomas Nelson & Sons Canada Ltd.,[1970?],1970-01-01,1970-12-31,,,"28 cm: 80 p., ill.",ISBN 0-176-31875-5,,Français,Canada,,,
00001025,Refrancisons-nous,Frère Jean-Ferdinand,Nous,Frère Jean-Ferdinand,1951,1951-01-01,1951-12-31,,2e éd.,"24 cm: 143 p., quelques ill.",,,Français,"Montmorency, QC",,,
00001026,Refrancisons-nous,Frère Jean-Ferdinand,Nous,Éditions des frères Maristes,1951,1951-01-01,1951-12-31,,,"22 cm: 142 p., quelques ill.",,,Français,"Montréal, QC",,,
00001027,Fonetik : la phonétique rendue facile : un manuel de phonétique française,"LEBRUN, Armande",,Lidec inc.,1969,1969-01-01,1969-12-31,,,21 cm: 115 p.,,Comprend une bibliogr. à la fin de l'ouvrage,Français,"Montréal, QC",,,
00001028,L'Apprentissage de l'orthographe : noms féminins en É ou en ÉE,"LEPAGE, Robert|PARADIS, Fernand",Méthode active ; 2,Pédagogia inc.,1965,1965-01-01,1965-12-31,,,"26 cm: iv, 19 p.",,,Français,"Montréal, QC",Primaire|Intermédiaire|Secondaire,4e à 9e année,
00001029,Le Français à l'école active : 6e année : 1er projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 1,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001030,Le Français à l'école active : 6e année : 2e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 2,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001031,Le Français à l'école active : 6e année : 3e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 3,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001032,Le Français à l'école active : 6e année : 4e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 4,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001033,Le Français à l'école active : 6e année : 5e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 5,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001034,Le Français à l'école active : 6e année : 6e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 6,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001035,Le Français à l'école active : 6e année : 7e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 7,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001036,Le Français à l'école active : 6e année : 8e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 8,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001037,Le Français à l'école active : 6e année : 9e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 9,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
00001038,Le Français à l'école active : 6e année : 10e projet de travail,"LONGPRÉ, Henri|CARRIÈRE, Jean|DESMARCHAIS, Guy|LEFEBVRE, Gilles-R.",Le Français à l'école active ; 10,Éditions école active,1967,1967-01-01,1967-12-31,,1re éd.,"23 cm: 32 p., ill. en coul.",,,Français,"Montréal, QC",Primaire,6e année,
