Numéro notice,Titre,Mentions de responsabilité,Titre propre de la collection,Éditeur,Date,DateDébut,DateFin,Date d'autorisation,Édition,Format,ISBN/ISSN,Notes,Langue,Lieu,Cycle,Niveau,Discipline
00004230,Lernen Sie Deutsch! Basic Grammar and Reader,"BURKHARD, Oscar C.",,The Copp Clark Company Ltd.,1938,1938-01-01,1938-12-31,,,"20 cm: xxii, 170, xlii p., ill. et cartes",,"La p. t. porte en outre : ""Authorized by the Minister of Education for Ontario"". -- Comprend un index et un lexique allemand-anglais",Allemand|Anglais,"Toronto, ON",,,
00004231,Initiation astronomique,"FLAMMARION, Camille",Initiations scientifiques,Librairie Hachette,1908,1908-01-01,1908-12-31,,Deuxième éd.,"18 cm: viii, 220, 12 p., ill.",,"La p. t. porte en outre : ""Ouvrage étranger à tout programme dédié aux amis de l'enfance"" et ""Ouvrage orné de 89 figures""",Français,"Paris, FR",,,
00004232,L'histoire du Canada : en 200 leçons,"BOUREGEOIS, P. Ph.-F.",Série de livres catholiques de la province de Québec,Librairie Beauchemin limitée; Librairies-Imprimeurs,1903,1903-01-01,1903-12-31,,,"vii, 440 p. ",,"La p. t. porte en outre : ""Ouvrage orné de gravures, accompagné de tableaux chronologiques, et préparé pour les écoles, académies, collèges, etc.""",Français,"Montréal, QC",,,
00004233,Ontario Writing Courses:  book three : grade 9 and high school,,,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,,"10 x 20 cm: 95 p., ill.",,Comprend un index,Anglais,"Toronto, ON",Secondaire,9e année,
00004234,The Book of Words,"KENNEDY, A. M.",,Commercial Text Book Co.,[1928?],1928-01-01,1928-12-31,,,"19 cm: xx, 235 p.",,"La p. t. porte en outre : ""A text book for simplifying the acquisition of correct spelling, pronunciation, and a knowledge of the meanings of the more difficult common words"". -- Comprend un lexique, une liste d'abréviations et des notes en bas de page",Anglais,"Toronto, ON",Secondaire|Universitaire et Collégial,Secondaire; collèges commerciaux,
00004235,Webster's New Handy Dictionary,,,s.n.,[19--?],1899-12-31,1999-12-31,,,15 cm: 276 p.,,,Anglais,,,,
00004236,The Canadian Speller: book one,,,W. J. Gage & Co. Ltd.,[19--?],1899-12-31,1999-12-31,,Quebec Ed.,19 cm: 82 p.,,Comprend des appendices et un lexique,Anglais,"Toronto, ON",Primaire,"2e, 3e et 4e année",
00004237,German Simplified: an Easy and Rapid Self-Instructor,,Hugo's Simplilfied System,David McKay Co. Publishers,[19--?],1899-12-31,1999-12-31,,"Standard Ed., rev. and entirely re-written","18 cm: 128, 64, 64, 39 p.",,"La p. t. porte en outre : ""Grammar, exercises and vocabularies, with the pronunciation exactly imitated"". -- Pagination répétée. -- Comprend des notes en bas de page",Anglais,"Philadelphia, PA",,,
00004238,Alexander Elz: Er Ist Nicht Eifersüchtig,"GOLDSTICK, Isidore",Copp Clark Modern Language Series,The Copp Clark Company Ltd.,1935,1935-01-01,1935-12-31,,,17 cm: 83 p.,,"La p. t. porte en outre : ""Edited with introduction, extensive and intensive reading exercises, notes, idiom-lists, and vocabulary"". -- Comprend un glossaire et des notes en bas de page",Anglais,"Toronto, ON",,,
00004239,Metodo-Berlitz Para la Ensenanza de Idiomas Modernos: parte espanola,"BERLITZ, M. D.",Berlitz Books,Estate of M. D. Berlitz,[1928?],1928-01-01,1928-12-31,,Nueva ed. Rev. y aum.,19 cm: 231 p.,,Le t. de la couv. : Método Espanol. -- Comprend des appendices,Espagnol,"New York, NY",,,
00004240,Marie-Claire à Villevieille,"PHILLIP, A. G.",Junior French Series,Oxford at the Clarendon Press,1927,1927-01-01,1927-12-31,,Éd. autorisée,16 cm: 110 p.,,"La p. couv. porte en outre : ""Audoux Marie-Claire à Villevieille : with vocabulary"". -- La p. t. porte en outre : ""Épisode tiré de ""Marie-Claire"" par Marguerite Audoux"". -- Comprend un lexique",Anglais|Français,"London, UK|Toronto, ON",Intermédiaire,Intermédiaire; Avancé,
00004241,Catéchisme historique,,,s.n.,1913,1913-01-01,1913-12-31,1884,Éd. rev.,16 cm: 96 p.,,,Français,"Montréal, QC",,,
00004242,Histoire sainte : cours moyen,Les Frères des écoles chrétiennes,,Frères des écoles chrétiennes,1946,1946-01-01,1946-12-31,,Nouvelle éd.,"19 cm: vi, 207 p., ill. et cartes",,Comprend des notes en bas de page,Français,"Montréal, QC",,,
00004243,Histoire sainte : cours moyen,Les Frères des écoles chrétiennes,,Frères des écoles chrétiennes,1930,1930-01-01,1930-12-31,,Nouvelle éd.,"19 cm: 207 p., ill. et cartes",,Comprend des notes en bas de page,Français,"Montréal, QC",,,
00004244,Le Moyen Age : classe de cinquième,"AIMOND, Ch.",Cours d'histoire à l'usage de l'enseignement secondaire,J. De Gigord,1956,1956-01-01,1956-12-31,,Quatorzième éd.,"18 cm: viii, 352 p, ill. et cartes",,"Comprend une table des lectures et des illustrations, un lexique et des notes en bas de page",Français,"Paris, FR",Système français,Secondaire (2e degré et des cours complémentaires),
00004245,Histoire du Canada : cours moyen,Les Frères des écoles chrétiennes,,Frères des écoles chrétiennes,1916,1916-01-01,1916-12-31,1912,Quatrième éd.,"19 cm: 332 p., ill. et cartes",,"La p. t. porte en outre : ""Enseignement divisé en trois cours : élémentaire, moyen, supérieur"". -- Comprend des notes en bas de page",Français,"Montréal, QC",Intermédiaire,Moyen,
00004246,Cours d'histoire d'Angleterre : 8e année,,,Soeurs de la congrégation de Notre-Dame,1917,1917-01-01,1917-12-31,,,"18 cm: 146 p., ill. et cartes",,"La p. t. porte en outre : ""Brevets de capacité"" et ""Leçons, récits, cartes, tableaux synoptiques, gravures""",Français,"Montréal, QC",Intermédiaire,8e année,
00004247,Petite Astronomie : descriptive,"FLAMMARION, Camille|DELON, C.",,Librairie Hachette,1907,1907-01-01,1907-12-31,,Huitième éd.,"18 cm: 218 p., ill. et figures",,,Français,"Paris, FR",,,
